Year,Clux_Stock
1953,7500
1954,7500
1955,3500
1956,7500
1957,30000
1958,7500
1959,3000
1960,3500
1961,3500
1962,15000
1963,200
1964,35000
1965,3500
1966,75000
1967,3500
1968,15000
1969,750
1970,35000
1971,400
1972,6000
1973,1800
1974,32000
1975,2100
1976,49000
1977,45
1978,45000
1979,100
1980,80000
1981,20
1982,10000
1983,500
1984,15000
1985,3500
1986,35000
1987,1000
1988,15000
1989,625
1990,45000
1991,2500
1992,50000
1993,275
1994,6000
1995,NA
1995,750
1996,25000
1996,NA
1997,1100
1998,NA
1998,1500
2000,1500
2000,NA
2001,1589
2002,10000
2003,3920
2004,5747
2005,7914
2006,3166
2007,6723
2008,1500
2009,36487
2010,5879
2011,7232
2012,30431
2013,15980
2014,NA
2015,NA
