Year,Age_1,Age_2,Age_3,Age_4,Age_5,Total
1972,NA,NA,NA,NA,0,0
1973,NA,NA,NA,227,0,227
1974,NA,NA,1207,198,0,1405
1975,NA,909,789,1173,44,2915
1976,NA,1117,4892,561,118,6688
1977,NA,835,3350,2713,16,6914
1978,NA,1546,5592,104,0,7242
1979,NA,3474,2376,401,0,6251
1980,NA,1504,3701,866,0,6071
1981,NA,1951,3569,205,0,5725
1982,NA,5291,2504,39,0,7834
1983,NA,6600,1257,167,0,8024
1984,NA,8300,2443,7,0,10750
1985,226,9786,287,108,0,10407
1986,1485,3030,1969,44,0,6528
1987,0,2146,762,1119,0,4027
1988,23,2324,4057,283,0,6687
1989,14,836,3778,790,0,5418
1990,0,3087,3215,44,0,6346
1991,0,1540,462,328,0,2330
1992,0,967,996,69,0,2032
1993,0,142,717,134,1,994
1994,0,761,1081,35,0,1877
1995,0,94,292,181,0,567
1996,0,626,812,16,0,1453
1997,0,1064,1498,34,0,2597
1998,9,824,748,0,0,1582
1999,0,1146,303,0,0,1449
2000,75,1472,540,0,0,2087
2001,47,3307,23,265,0,3642
2002,950,438,2366,27,0,3781
2003,43,2039,266,61,0,2409
2004,6,1558,421,43,0,2028
2005,112,465,658,147,0,1382
2006,18,736,554,561,7,1876
2007,18,862,1134,381,19,2414
2008,0,185,1002,349,NA,1536
2009,8,249,2018,NA,NA,2275
2010,0,800,NA,NA,NA,800
2011,0,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA
