"","Year","Adults","Smolts"
"1",1969,NA,6
"2",1970,NA,43.8983050847458
"3",1971,NA,73.1398305084746
"4",1972,NA,85.3097480046632
"5",1973,NA,767.837301587302
"6",1974,NA,2376.91505122143
"7",1975,NA,1145.54058313633
"8",1976,617,6151.47487815051
"9",1977,334,11361.4887943279
"10",1978,339,8737.94906480607
"11",1979,161,2794.34977391167
"12",1980,118,9502.94135266738
"13",1981,268,3445.06197500281
"14",1982,435,6991.52255757183
"15",1983,1043,6918.53490783068
"16",1984,677,8535.05064540684
"17",1985,283,7609.87919815137
"18",1986,646,6054.59758126978
"19",1987,1151,4609.77172817532
"20",1988,850,2154.1615019459
"21",1989,542,2931.98938053097
"22",1990,708,6198.80576796403
"23",1991,99,1016.65566343042
"24",1992,296,894.196474462244
"25",1993,105,815.498426676465
"26",1994,83,1291.37007205593
"27",1995,149,722.674580508614
"28",1996,45,1787.50189323685
"29",1997,20,696.967299722809
"30",1998,15,2002.13467091507
"31",1999,38,1369.75267473893
"32",2000,88,2044.99476383219
"33",2001,70,2956.23545715134
"34",2002,65,2895.88062688076
"35",2003,90,2156.55317741058
"36",2004,55,1566.96712423405
"37",2005,27,1320.16933497537
"38",2006,75,1451.57576438579
"39",2007,65,1668.81961759576
"40",2008,22,1399.7341795319
"41",2009,19,2170.35138520029
"42",2010,25,2361.16522389224
"43",2011,31,1438.24271441813
"44",2012,90,1309.45204983786
"45",2013,99,1511.90329194145
"46",2014,105,668.126204986866
"47",2015,97,142.602888086643
"48",2016,83,6.25451263537906
"49",2017,26,NA
"50",2018,NA,NA
